id,type,file_path,line_number,string_name,original_text,translation,context,notes
4401,source_code,app\src\main\java\io\legado\app\ui\file\HandleFileActivity.kt,235,,添加手动输入选项,,"string.manual_input), 112) // 添加手动输入选项",Chinese parts: 添加手动输入选项
4402,source_code,app\src\main\java\io\legado\app\ui\file\HandleFileActivity.kt,241,,添加手动输入选项,,"string.manual_input), 112) // 添加手动输入选项",Chinese parts: 添加手动输入选项
4403,source_code,app\src\main\java\io\legado\app\ui\file\HandleFileViewModel.kt,29,,上传文件失败,,"AppLog.put(""上传文件失败\n${it.localizedMessage}"", it)",Chinese parts: 上传文件失败
4404,source_code,app\src\main\java\io\legado\app\ui\font\FontAdapter.kt,49,,读取字体,,"AppLog.put(""读取字体 ${item.name} 出错\n${it.localiz",Chinese parts: 读取字体
4405,source_code,app\src\main\java\io\legado\app\ui\font\FontAdapter.kt,49,,出错,,"AppLog.put(""读取字体 ${item.name} 出错\n${it.localizedMessage}"", it,",Chinese parts: 出错
4406,source_code,app\src\main\java\io\legado\app\ui\font\FontSelectDialog.kt,163,,加载字体文件失败,,"AppLog.put(""加载字体文件失败\n${it.localizedMessage}"", it)",Chinese parts: 加载字体文件失败
4407,source_code,app\src\main\java\io\legado\app\ui\login\SourceLoginDialog.kt,181,,登录出错,,"AppLog.put(""登录出错\n${e.localizedMessage}"", e)",Chinese parts: 登录出错
4408,source_code,app\src\main\java\io\legado\app\ui\login\SourceLoginDialog.kt,182,,登录出错,,"context?.toastOnUi(""登录出错\n${e.localizedMessage}"")",Chinese parts: 登录出错
4409,source_code,app\src\main\java\io\legado\app\ui\login\SourceLoginViewModel.kt,21,,没有参数,,"throw NoStackTraceException(""没有参数"")",Chinese parts: 没有参数
4410,source_code,app\src\main\java\io\legado\app\ui\login\SourceLoginViewModel.kt,35,,未找到书源,,"context.toastOnUi(""未找到书源"")",Chinese parts: 未找到书源
4411,source_code,app\src\main\java\io\legado\app\ui\login\SourceLoginViewModel.kt,39,,登录,,"AppLog.put(""登录 UI 初始化失败\n$it"", it, true)",Chinese parts: 登录
4412,source_code,app\src\main\java\io\legado\app\ui\login\SourceLoginViewModel.kt,39,,初始化失败,,"AppLog.put(""登录 UI 初始化失败\n$it"", it, true)",Chinese parts: 初始化失败
4413,source_code,app\src\main\java\io\legado\app\ui\main\MainActivity.kt,293,,检测到阅读发生了崩溃,,"rt(getString(R.string.draw), ""检测到阅读发生了崩溃，是否打开崩溃日志以便报告问题？"") {",Chinese parts: 检测到阅读发生了崩溃
4414,source_code,app\src\main\java\io\legado\app\ui\main\MainActivity.kt,293,,是否打开崩溃日志以便报告问题,,"g(R.string.draw), ""检测到阅读发生了崩溃，是否打开崩溃日志以便报告问题？"") {",Chinese parts: 是否打开崩溃日志以便报告问题
4415,source_code,app\src\main\java\io\legado\app\ui\main\MainViewModel.kt,142,,更新目录出错,,"AppLog.put(""更新目录出错\n${it.localizedMessage}"", it)",Chinese parts: 更新目录出错
4416,source_code,app\src\main\java\io\legado\app\ui\main\MainViewModel.kt,178,,更新目录失败,,"AppLog.put(""${book.name} 更新目录失败\n${it.localizedMessage}"", it)",Chinese parts: 更新目录失败
4417,source_code,app\src\main\java\io\legado\app\ui\replace\ReplaceRuleActivity.kt,225,,替换规则管理界面更新数据出错,,"AppLog.put(""替换规则管理界面更新数据出错"", it)",Chinese parts: 替换规则管理界面更新数据出错
4418,source_code,app\src\main\java\io\legado\app\ui\widget\ShadowLayout.kt,60,,关闭硬件加速,,"LAYER_TYPE_SOFTWARE, null) // 关闭硬件加速",Chinese parts: 关闭硬件加速
4419,source_code,app\src\main\java\io\legado\app\ui\widget\ShadowLayout.kt,61,,调用此方法后,,setWillNotDraw(false) // 调用此方法后，才会执行 onDraw(Canvas) 方法,Chinese parts: 调用此方法后
4420,source_code,app\src\main\java\io\legado\app\ui\widget\ShadowLayout.kt,61,,才会执行,,tWillNotDraw(false) // 调用此方法后，才会执行 onDraw(Canvas) 方法,Chinese parts: 才会执行
4421,source_code,app\src\main\java\io\legado\app\ui\widget\ShadowLayout.kt,61,,方法,,// 调用此方法后，才会执行 onDraw(Canvas) 方法,Chinese parts: 方法
4422,source_code,app\src\main\java\io\legado\app\ui\widget\dialog\TextDialog.kt,94,,数据太大,,"ubstring(0, 32 * 1024) + ""\n\n数据太大，无法全部显示…""",Chinese parts: 数据太大
4423,source_code,app\src\main\java\io\legado\app\ui\widget\dialog\TextDialog.kt,94,,无法全部显示,,"ing(0, 32 * 1024) + ""\n\n数据太大，无法全部显示…""",Chinese parts: 无法全部显示
4424,source_code,app\src\main\java\io\legado\app\ui\widget\image\CoverImageView.kt,218,,自动识别,,"der.load(context, path)//Glide自动识别http://,content://和file://",Chinese parts: 自动识别
4425,source_code,app\src\main\java\io\legado\app\ui\widget\image\CoverImageView.kt,218,,和,,")//Glide自动识别http://,content://和file://",Chinese parts: 和
