id,type,file_path,line_number,string_name,original_text,translation,context,notes
4001,source_code,app\src\main\java\io\legado\app\service\DownloadService.kt,74,,下载的文件夹,,"toastOnUi(""未完成,下载的文件夹Download"")",Chinese parts: 下载的文件夹
4002,source_code,app\src\main\java\io\legado\app\service\DownloadService.kt,98,,已在下载列表,,"toastOnUi(""已在下载列表"")",Chinese parts: 已在下载列表
4003,source_code,app\src\main\java\io\legado\app\service\DownloadService.kt,119,,下载出错,,"is SecurityException -> ""下载出错,没有存储权限""",Chinese parts: 下载出错
4004,source_code,app\src\main\java\io\legado\app\service\DownloadService.kt,119,,没有存储权限,,"is SecurityException -> ""下载出错,没有存储权限""",Chinese parts: 没有存储权限
4005,source_code,app\src\main\java\io\legado\app\service\DownloadService.kt,120,,下载出错,,"else -> ""下载出错,${it.localizedMessage}""",Chinese parts: 下载出错
4006,source_code,app\src\main\java\io\legado\app\service\DownloadService.kt,222,,打开下载文件,,"AppLog.put(""打开下载文件${fileName}出错"", it)",Chinese parts: 打开下载文件
4007,source_code,app\src\main\java\io\legado\app\service\DownloadService.kt,222,,出错,,"AppLog.put(""打开下载文件${fileName}出错"", it)",Chinese parts: 出错
4008,source_code,app\src\main\java\io\legado\app\service\ExportBookService.kt,173,,导出完成,,"notificationContentText = ""导出完成""",Chinese parts: 导出完成
4009,source_code,app\src\main\java\io\legado\app\service\ExportBookService.kt,181,,获取,,"throw NoStackTraceException(""获取${bookUrl}书籍出错"")",Chinese parts: 获取
4010,source_code,app\src\main\java\io\legado\app\service\ExportBookService.kt,181,,书籍出错,,"ckTraceException(""获取${bookUrl}书籍出错"")",Chinese parts: 书籍出错
4011,source_code,app\src\main\java\io\legado\app\service\ExportBookService.kt,205,,导出书籍,,"AppLog.put(""导出书籍<${book?.name ?: bookUrl}>出错"",",Chinese parts: 导出书籍
4012,source_code,app\src\main\java\io\legado\app\service\ExportBookService.kt,205,,出错,,"导出书籍<${book?.name ?: bookUrl}>出错"", e)",Chinese parts: 出错
